version,difficulty,syncSource,service,level,actionType,category,estimatedSavings,description,contentHash,automatedCheck,id,checkImplemented,tipId,actionLabel,title,cloud,implementedInAct,serviceKey,createdAt,drilldownInstructions,drilldownApis,provider,providerRouting,confidenceTag,positiveCount,source
,medium,,Caching,,,caching-strategies,$50-500/month depending on cache hit rate,Many applications send the same or near-identical prompts repeatedly. Implement a response cache keyed on prompt hash to serve repeat queries instantly without incurring API costs.,,,,,openai-caching-001,,Cache identical prompt responses to eliminate redundant API calls,OpenAI,,,,,,openai,,,,
,hard,,Caching,,,caching-strategies,$30-300/month depending on query diversity,"Semantic caching matches queries by meaning rather than exact text. Embedding-based similarity lookup can serve cached results for paraphrased questions, further reducing API call volume and cost.",,,,,openai-caching-002,,Use semantic caching for similar but not identical queries,OpenAI,,,,,,openai,,,,
,easy,,Cloud Armor,2,pending,right-sizing,40-60%,Cloud Armor Standard tier provides rate limiting and IP/geo blocking at lower cost than Plus tier. Reserve Plus tier only for applications requiring adaptive protection and DDoS response team.,,,,false,gcp-armor-001,Coming Soon,Use Cloud Armor Standard tier for basic protection,GCP,false,Cloud Armor,,,,,,,,
,medium,,Cloud Armor,2,pending,architecture,20-30%,Share Cloud Armor security policies across multiple backend services and forwarding rules rather than creating duplicate policies per service. Reduces per-policy management overhead.,,,,false,gcp-armor-002,Coming Soon,Consolidate Cloud Armor policies across services,GCP,false,Cloud Armor,,,,,,,,
1,easy,bedrock-ai,Cloud Build,3,advisory,scheduling,10-30%,Schedule Cloud Build pipelines to run during off-peak hours to take advantage of lower pricing and avoid peak-time costs.,6cef1cf6a455f724f4018aab165c79f4ca227dd2da30e388ab7448e0cdfb2b51,gcloud builds triggers describe <trigger-name>,cloud build-001,false,cloud build-001,View Details,Schedule Cloud Build pipelines during off-peak hours,GCP,,,2026-06-04T02:10:38.377803+00:00,,,,,,,
,easy,,Cloud Build,2,pending,right-sizing,30-50%,Cloud Build charges per-build-minute based on machine type. Use the default e2-medium pool for most builds. Upgrade to larger machines only for builds that are CPU or memory constrained.,,,,false,gcp-build-001,Coming Soon,Use default machine type unless builds require more resources,GCP,false,Cloud Build,,,,,,,,
,medium,,Cloud Build,2,pending,architecture,20-40%,Enable kaniko cache in Cloud Build to reuse Docker layers between builds. Shorter build times directly reduce per-minute compute costs and improve developer velocity.,,,,false,gcp-build-002,Coming Soon,Use Docker layer caching to reduce build times,GCP,false,Cloud Build,,,,,,,,
1,medium,bedrock-ai,Cloud CDN,3,advisory,storage-tiering,10-25%,"Optimize cache expiration settings in Cloud CDN to ensure frequently accessed content remains cached longer, reducing the need for repeated origin fetches. Adjust TTL values based on content update frequency to maximize cache hits and minimize data transfer costs.",5b7b95ba7c3a999ed90bac653462a12c5f766e11702786e1dbaf70982be9df4e,gcloud compute backend-buckets describe <backend-bucket-name> --format='default',cloud cdn-001,false,cloud cdn-001,View Details,Leverage Cloud CDN Cache Expiration,GCP,,,2026-06-20T02:10:38.143842+00:00,,,,,,,
,easy,,Cloud CDN,2,pending,architecture,30-50%,"Cloud CDN caching reduces origin fetches and egress costs. Configure cache TTLs, enable CDN on HTTP(S) LB backend buckets for static assets. CDN-served bytes cost less than origin egress.",,,,false,gcp-cdn-001,Coming Soon,Enable Cloud CDN cache for static content,GCP,false,Cloud CDN,,,,,,,,
,medium,,Cloud CDN,2,pending,data-management,20-40%,"Increase cache hit ratio by normalizing URLs, removing unnecessary query parameters from cache keys, and setting appropriate max-age headers. Higher hit rates reduce expensive origin fetches.",,,,false,gcp-cdn-002,Coming Soon,Optimize Cloud CDN cache hit ratio,GCP,false,Cloud CDN,,,,,,,,
,easy,,Cloud DNS,2,pending,cleanup,100%,Each managed zone incurs a monthly charge plus per-query fees. Remove DNS zones for decommissioned domains and consolidate zones where possible to reduce fixed monthly costs.,,,,false,gcp-dns-001,Coming Soon,Delete unused Cloud DNS managed zones,GCP,false,Cloud DNS,,,,,,,,
,medium,,Cloud DNS,2,pending,architecture,20-30%,DNS forwarding zones incur per-query charges for forwarded queries. Use Cloud DNS private zones for internal service discovery instead of forwarding to on-premises resolvers.,,,,false,gcp-dns-002,Coming Soon,Use DNS policies for internal resolution instead of forwarding zones,GCP,false,Cloud DNS,,,,,,,,
,easy,,Cloud Functions,2,pending,right-sizing,25-50%,Cloud Functions bills per GB-second of allocated memory. Profile actual memory usage and reduce allocation from defaults. Many functions run fine at 128-256MB instead of the default 256-512MB.,,,,false,gcp-cf-001,Coming Soon,Reduce Cloud Functions memory allocation,GCP,false,Cloud Functions,,,,,,,,
,medium,,Cloud Functions,2,pending,architecture,20-40%,"Reduce execution duration by optimizing dependencies, using connection pooling, and lazy initialization. Shorter execution time directly reduces per-invocation costs in the GB-second billing model.",,,,false,gcp-cf-002,Coming Soon,Optimize function cold starts and execution time,GCP,false,Cloud Functions,,,,,,,,
,easy,,Cloud Functions,2,pending,pricing-model,30-50%,"Min-instances keep functions warm but charge for idle time. Only set min-instances for latency-critical production functions. Use 0 min-instances for async, background, or dev/test functions.",,,,false,gcp-cf-003,Coming Soon,Use min-instances wisely to balance cost and latency,GCP,false,Cloud Functions,,,,,,,,
1,hard,bedrock-ai,Cloud Interconnect,3,advisory,networking,20-50%,"For organizations with dedicated network requirements, use Cloud Interconnect partner connections instead of public VPC peering or Cloud VPN. This provides higher bandwidth at lower cost for sustained high-throughput connections.",fb229947fd6bde6191120dc76e7565ae761f1cf8b6b4d8a586a1f995cdac48fc,gcloud interconnects partnerships list --project=<project-id>,cloud interconnect-001,false,cloud interconnect-001,View Details,Implement Cloud Interconnect Partner Connections,GCP,,,2026-06-18T02:10:41.701385+00:00,,,,,,,
,medium,,Cloud Interconnect,2,pending,right-sizing,30-50%,Dedicated Interconnect charges per-attachment regardless of utilization. Reduce VLAN attachment capacity or switch to Partner Interconnect for connections under 2Gbps utilization.,,,,false,gcp-interconnect-001,Coming Soon,Right-size Dedicated Interconnect attachments,GCP,false,Cloud Interconnect,,,,,,,,
,medium,,Cloud Interconnect,2,pending,architecture,40-60%,Partner Interconnect starts at 50Mbps and costs less than Dedicated Interconnect (10Gbps minimum). Suitable for organizations needing 50Mbps-10Gbps private connectivity to GCP.,,,,false,gcp-interconnect-002,Coming Soon,Use Partner Interconnect for medium-bandwidth hybrid connectivity,GCP,false,Cloud Interconnect,,,,,,,,
,easy,,Cloud Logging,2,pending,data-management,30-60%,"Configure log exclusion filters to drop high-volume, low-value logs before ingestion (e.g., health check requests, debug-level traces). Reduces per-GB ingestion and storage costs significantly.",,,,false,gcp-logging-001,Coming Soon,Exclude verbose logs with exclusion filters,GCP,false,Cloud Logging,,,,,,,,
,medium,,Cloud Logging,2,pending,data-management,40-60%,"Export logs to Cloud Storage (for archival) or BigQuery (for analytics) via sinks, then exclude from Cloud Logging. Storage-based retention is significantly cheaper than Cloud Logging retention.",,,,false,gcp-logging-002,Coming Soon,Route logs to cheaper storage with log sinks,GCP,false,Cloud Logging,,,,,,,,
,easy,,Cloud Logging,2,pending,data-management,20-40%,Default Cloud Logging retention is 30 days. Custom retention beyond 30 days incurs additional per-GB/month charges. Set retention to compliance minimum and archive older logs to Cloud Storage.,,,,false,gcp-logging-003,Coming Soon,Reduce log retention period to minimum required,GCP,false,Cloud Logging,,,,,,,,
,medium,,Cloud Monitoring,2,pending,data-management,25-50%,"Cloud Monitoring charges per-custom-metric time series ingested. Reduce cardinality by aggregating labels, sampling less frequently, and deleting unused metric descriptors.",,,,false,gcp-monitoring-001,Coming Soon,Reduce custom metrics volume and cardinality,GCP,false,Cloud Monitoring,,,,,,,,
,easy,,Cloud Monitoring,2,pending,cleanup,15-25%,Uptime checks generate monitoring data and incur costs for external checks. Remove checks for decommissioned endpoints and consolidate redundant alerting policies.,,,,false,gcp-monitoring-002,Coming Soon,Remove unused alerting policies and uptime checks,GCP,false,Cloud Monitoring,,,,,,,,
,medium,,Cloud NAT,2,pending,right-sizing,30-50%,"Cloud NAT charges per-VM based on allocated port mappings. Reduce minPortsPerVm to actual concurrent connection needs. Most internal services need 64-128 ports, not the 64K maximum.",,,,false,gcp-nat-001,Coming Soon,Right-size Cloud NAT min ports per VM,GCP,false,Cloud NAT,,,,,,,,
,easy,,Cloud NAT,2,pending,architecture,30-50%,"Enable Private Google Access on subnets to reach Google APIs without NAT or public IPs. Eliminates NAT data processing charges for GCS, BigQuery, and other Google service API calls.",,,,false,gcp-nat-002,Coming Soon,Use Private Google Access instead of NAT for GCP API calls,GCP,false,Cloud NAT,,,,,,,,
,easy,,Cloud Run,2,pending,right-sizing,25-40%,Cloud Run charges per vCPU-second and GB-second while the container processes requests. Set CPU and memory to minimum viable values. Most APIs work fine at 1 vCPU and 256-512MB memory.,,,,false,gcp-run-001,Coming Soon,Reduce Cloud Run CPU and memory allocation,GCP,false,Cloud Run,,,,,,,,
,medium,,Cloud Run,2,pending,architecture,30-60%,"Increase max concurrency per container (up to 1000) so each instance handles more simultaneous requests. Fewer total instances means lower compute costs, especially for IO-bound services.",,,,false,gcp-run-002,Coming Soon,Use Cloud Run concurrency to reduce instance count,GCP,false,Cloud Run,,,,,,,,
,easy,,Cloud Run,2,pending,scheduling,40-70%,Cloud Run scales to zero by default — no charge when idle. Ensure min-instances is set to 0 for services that can tolerate cold starts. Only use min-instances for latency-critical paths.,,,,false,gcp-run-003,Coming Soon,Scale Cloud Run to zero for infrequent services,GCP,false,Cloud Run,,,,,,,,
,medium,,Cloud Run,2,pending,pricing-model,15-17%,Cloud Run offers spend-based CUDs with up to 17% discount for committing to minimum spend amounts. Apply to services with predictable traffic that consistently uses Cloud Run compute.,,,,false,gcp-run-004,Coming Soon,Use Cloud Run committed use discounts,GCP,false,Cloud Run,,,,,,,,
,easy,,Cloud SQL,2,pending,right-sizing,30-50%,GCP Recommender identifies overprovisioned Cloud SQL instances based on CPU and memory utilization. Reduce machine type or switch to shared-core for low-traffic databases.,,,,false,gcp-sql-001,Coming Soon,Right-size Cloud SQL instances,GCP,false,Cloud SQL,,,,,,,,
,medium,,Cloud SQL,2,pending,pricing-model,30-52%,"Commit to 1 or 3-year CUDs for Cloud SQL instances to receive up to 52% discount. Apply to production databases with stable, predictable resource requirements.",,,,false,gcp-sql-002,Coming Soon,Use Cloud SQL committed use discounts,GCP,false,Cloud SQL,,,,,,,,
,easy,,Cloud SQL,2,pending,scheduling,50-70%,Cloud SQL instances can be stopped to halt CPU charges while retaining data on disk. Schedule stops for dev/test databases during off-hours using Cloud Scheduler and Cloud Functions.,,,,false,gcp-sql-003,Coming Soon,Stop Cloud SQL instances in non-production environments,GCP,false,Cloud SQL,,,,,,,,
,easy,,Cloud SQL,2,pending,data-management,15-30%,Default automated backup retention is 7 days. Reduce to minimum required and delete on-demand backups no longer needed. Disable point-in-time recovery for non-critical dev databases.,,,,false,gcp-sql-004,Coming Soon,Reduce Cloud SQL backup retention and storage,GCP,false,Cloud SQL,,,,,,,,
1,hard,bedrock-ai,Cloud Spanner,3,advisory,data-management,15-35%,Review and adjust the number of nodes in your Cloud Spanner instance to match usage.,0839bdc441aec086700cdef3c6b8d0bce433167bc1306c1236b347f9d7325389,gcloud spanner instances describe <instance-id> --format='get(config.nodes)',cloud spanner-001,false,cloud spanner-001,View Details,Optimize Cloud Spanner instance size,GCP,,,2026-06-03T02:10:38.263144+00:00,"1. List all Spanner instances with processing units. 2. Check CPU utilization — Spanner recommends staying <65% for single-region, <45% for multi-region. 3. If CPU is <20%: reduce processing units (minimum 100 PU = ~$65/mo). 4. Check if multi-region is needed — regional instances are 3x cheaper than multi-region. 5. For predictable workloads: apply Committed Use Discounts (up to 50% savings on 3yr). 6. Use Autoscaler to dynamically adjust capacity based on load.","[""gcloud spanner instances list --format='table(name,config,nodeCount,processingUnits)'"",""gcloud monitoring metrics list --filter='metric.type=\""spanner.googleapis.com/instance/cpu/utilization\""' --interval=P7D"",""gcloud spanner databases list --instance=<instance>""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,pricing-model,10-40%,Select the most cost-effective Spanner instance type based on workload requirements.,5abd49de7442f22cdafd370e0e1b432cac7ce49944ab42239bfb8b95865e762a,gcloud spanner instances list,cloud spanner-002,false,cloud spanner-002,View Details,Choose Optimal Spanner Instance Type,GCP,,,2026-06-05T02:10:37.609239+00:00,"1. List all Spanner instances with processing units. 2. Check CPU utilization — Spanner recommends staying <65% for single-region, <45% for multi-region. 3. If CPU is <20%: reduce processing units (minimum 100 PU = ~$65/mo). 4. Check if multi-region is needed — regional instances are 3x cheaper than multi-region. 5. For predictable workloads: apply Committed Use Discounts (up to 50% savings on 3yr). 6. Use Autoscaler to dynamically adjust capacity based on load.","[""gcloud spanner instances list --format='table(name,config,nodeCount,processingUnits)'"",""gcloud monitoring metrics list --filter='metric.type=\""spanner.googleapis.com/instance/cpu/utilization\""' --interval=P7D"",""gcloud spanner databases list --instance=<instance>""]",,,,,
1,hard,bedrock-ai,Cloud Spanner,3,advisory,pricing-model,20-50%,Evaluate using Spanner Multi-Region configurations to benefit from lower costs.,fd83ab80f71d847a4cf21905ceae84ab6fe8e2f6d521fa3a12a193b477cf9319,gcloud spanner instances describe <INSTANCE_ID> --format='get(config.labels.region)',cloud spanner-003,false,cloud spanner-003,View Details,Choose Spanner Multi-Region for Lower Costs,GCP,,,2026-06-07T02:10:38.141377+00:00,"1. List all Spanner instances with processing units. 2. Check CPU utilization — Spanner recommends staying <65% for single-region, <45% for multi-region. 3. If CPU is <20%: reduce processing units (minimum 100 PU = ~$65/mo). 4. Check if multi-region is needed — regional instances are 3x cheaper than multi-region. 5. For predictable workloads: apply Committed Use Discounts (up to 50% savings on 3yr). 6. Use Autoscaler to dynamically adjust capacity based on load.","[""gcloud spanner instances list --format='table(name,config,nodeCount,processingUnits)'"",""gcloud monitoring metrics list --filter='metric.type=\""spanner.googleapis.com/instance/cpu/utilization\""' --interval=P7D"",""gcloud spanner databases list --instance=<instance>""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,architecture,20-40%,Opt for Multi-Region Spanner instances for better cost efficiency.,db05263c14da0349b83f4353e81681536e5f4d3bf2fea594009e061ec837e248,"gcloud spanner instances list --format=""json""",cloud spanner-004,false,cloud spanner-004,View Details,Use Multi-Region Spanner,GCP,,,2026-06-08T02:10:39.276298+00:00,"1. List all Spanner instances with processing units. 2. Check CPU utilization — Spanner recommends staying <65% for single-region, <45% for multi-region. 3. If CPU is <20%: reduce processing units (minimum 100 PU = ~$65/mo). 4. Check if multi-region is needed — regional instances are 3x cheaper than multi-region. 5. For predictable workloads: apply Committed Use Discounts (up to 50% savings on 3yr). 6. Use Autoscaler to dynamically adjust capacity based on load.","[""gcloud spanner instances list --format='table(name,config,nodeCount,processingUnits)'"",""gcloud monitoring metrics list --filter='metric.type=\""spanner.googleapis.com/instance/cpu/utilization\""' --interval=P7D"",""gcloud spanner databases list --instance=<instance>""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,scheduling,15-35%,Enable automatic scaling for Cloud Spanner instances to adjust capacity based on demand.,ea15586cc7f902a266540ec5776f7e987b5774d541d26df1e26e53a5190e64c9,gcloud spanner instances update my-instance --automatic-settings --region=us-central1,cloud spanner-005,false,cloud spanner-005,View Details,Use Cloud Spanner's automatic scaling,GCP,,,2026-06-10T02:10:41.514447+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,right-sizing,15-35%,Regularly assess and adjust the number of nodes in your Cloud Spanner instances to match workload demands.,b97a902d8fb51750020fd5f6d3fe0c7fa3ec1f50024a1d8a841acab66ec7acef,gcloud spanner instances describe {INSTANCE_ID} --format='get(config.nodes)',cloud spanner-006,false,cloud spanner-006,View Details,Right-size Cloud Spanner nodes,GCP,,,2026-06-11T02:10:39.136892+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,right-sizing,20-40%,Scale Cloud Spanner instances based on actual usage and performance metrics. Use GCP Console.,2a056ed2c87d0b4c9d55f4c9cdfc210d8dd3fa12eeeb8080641abbb5e076cb43,"gcloud spanner instances describe <instance> --format='get(name,config.labels.environment,config.nodes)'",cloud spanner-007,false,cloud spanner-007,View Details,Right-size Cloud Spanner Instances,GCP,,,2026-06-12T02:10:38.555117+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,pricing-model,varies,"For workloads with variable demand, consider using Cloud Spanner on-demand instances instead of committed use discounts. This provides flexibility to scale resources up or down based on actual usage without long-term commitments.",5cf09a5f4f263a06b883110f0e5151769f527f27703396536fab475bd239f28b,gcloud spanner instances list --project=<project-id>,cloud spanner-008,false,cloud spanner-008,View Details,Use on-demand instances,GCP,,,2026-06-14T02:10:41.038397+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,pricing-model,up to 57%,Apply Committed Use Discounts (CUDs) to Spanner instances that run continuously for 1 or 3 years. This can reduce costs by up to 57% compared to on-demand pricing.,84620d50e5ed476740ca2d89020618f01155b6c55fe1743e4b20bffdf198ee27,"gcloud spanner instances list --format='table(name, state)'",cloud spanner-009,false,cloud spanner-009,View Details,Use Committed Use Discounts for Spanner,GCP,,,2026-06-16T02:10:38.123924+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,scheduling,20-35%,Configure automatic node scaling for Cloud Spanner instances using Cloud Scheduler and scripts to scale down nodes during predictable off-peak hours. Ensure this aligns with your SLAs and business requirements.,25130dfb5cf9e9a6e01f2ebfe8b14e19be1863b51b4eb302b2a6fa80c6327e69,"gcloud spanner instances list --format=""value(name,nodeCount)""",cloud spanner-010,false,cloud spanner-010,View Details,Scale Down Spanner Nodes During Off-Peak Hours,GCP,,,2026-06-17T02:10:38.682068+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
1,medium,bedrock-ai,Cloud Spanner,3,advisory,right-sizing,25-40%,Analyze Cloud Spanner node usage through Cloud Monitoring metrics. Scale down nodes during off-peak hours and permanently reduce node count for underutilized instances. Consider switching to Autopilot for automatic node management where applicable.,9b28c5d85119ad5015b150d4ae927dfb55095a955de23a2337caac4899cae7cb,"gcloud spanner instances list --format=""value(name,nodeCount,state)""",cloud spanner-011,false,cloud spanner-011,View Details,Right-size Cloud Spanner nodes based on actual throughput usage,GCP,,,2026-06-23T02:10:38.451127+00:00,Check CPU utilization (<20% = reduce PUs). Regional is 3x cheaper than multi-region. Apply CUDs for steady-state (up to 50% off 3yr). Use Autoscaler.,"[""gcloud spanner instances list"",""gcloud monitoring (cpu/utilization)""]",,,,,
,medium,,Cloud Spanner,2,pending,right-sizing,30-50%,Cloud Spanner charges per node-hour. Use autoscaler to reduce compute nodes during off-peak periods. Many workloads can handle lower node counts outside business hours.,,,,false,gcp-spanner-001,Coming Soon,Scale down Cloud Spanner nodes for off-peak periods,GCP,false,Cloud Spanner,,,,,,,,
,medium,,Cloud Spanner,2,pending,pricing-model,25-40%,Commit to 1 or 3-year CUDs for Spanner compute capacity. Provides up to 40% savings for production databases with predictable node requirements.,,,,false,gcp-spanner-002,Coming Soon,Use Cloud Spanner committed use discounts,GCP,false,Cloud Spanner,,,,,,,,
,easy,,Cloud Spanner,2,pending,architecture,100%,Cloud Spanner offers free trial instances with limited capacity for development and testing. Use free instances for prototyping instead of running paid multi-node production configurations.,,,,false,gcp-spanner-003,Coming Soon,Use Spanner Free Trial instances for development,GCP,false,Cloud Spanner,,,,,,,,
,easy,,Cloud Storage,2,pending,storage-tiering,50-83%,"Configure Object Lifecycle Management to automatically transition objects from Standard to Nearline (30-day min), Coldline (90-day min), or Archive (365-day min). Up to 83% savings on storage costs.",,,,false,gcp-storage-001,Coming Soon,Apply lifecycle rules to move data to colder storage classes,GCP,false,Cloud Storage,,,,,,,,
,easy,,Cloud Storage,2,pending,idle-resources,100%,Unattached persistent disks and old snapshots continue incurring charges. Use the GCP Recommender idle disk detection or list unattached disks via gcloud to identify and clean up.,,,,false,gcp-storage-002,Coming Soon,Delete orphaned persistent disks and snapshots,GCP,false,Cloud Storage,,,,,,,,
,easy,,Cloud Storage,2,pending,cleanup,20-40%,"Set lifecycle rules to auto-delete objects in temporary upload, log, and staging buckets after a defined period. Prevents accumulation of forgotten temporary data.",,,,false,gcp-storage-003,Coming Soon,Configure Object Lifecycle to delete old temporary objects,GCP,false,Cloud Storage,,,,,,,,
,easy,,Cloud Storage,2,pending,architecture,20-30%,Regional Cloud Storage is cheaper than multi-regional and provides lower latency for same-region access. Use regional for data processing pipelines where global access isn't needed.,,,,false,gcp-storage-004,Coming Soon,Use regional buckets instead of multi-regional when locality suffices,GCP,false,Cloud Storage,,,,,,,,
,easy,,Cloud Trace,2,pending,data-management,80-99%,Cloud Trace charges per-span ingested. Set sampling rate to 0.1-1% for high-traffic services instead of tracing every request. Use higher rates only for debugging specific issues.,,,,false,gcp-trace-001,Coming Soon,Configure trace sampling rate for cost control,GCP,false,Cloud Trace,,,,,,,,
,medium,,CloudFront,2,deep-link,caching,20-50%,"Increase cache TTLs, normalize query strings, and use Origin Shield to improve cache hit ratio. Higher cache hits mean fewer origin requests and lower costs.",,"cloudwatch:GetMetricStatistics(CloudFront/CacheHitRate, avg 30d) â†’ low cache hit rate = optimization needed; ce:GetCostAndUsage for CloudFront cost",,true,cloudfront-001,Ask AI about CloudFront,Optimize CloudFront cache hit ratio,AWS,true,Amazon CloudFront,,,,,,,,
,easy,,CloudFront,2,deep-link,pricing,up to 30%,"If using CloudFront with WAF, the Security Savings Bundle offers up to 30% savings with a 1-year commitment.",,ce:GetCostAndUsage â†’ CloudFront cost; if CloudFront + WAF both in top costs = Security Savings Bundle candidate,,true,cloudfront-002,Ask AI about CloudFront,Use CloudFront Security Savings Bundle,AWS,true,Amazon CloudFront,,,,,,,,
1,medium,bedrock-ai,CloudFront,3,advisory,pricing-model,$20-$100/month,Enable regional caching in CloudFront to reduce origin fetches and data transfer costs. This is particularly effective for geographically distributed user bases accessing cached content.,9203324737d79ea1f0326c69a573f6a3b2710d470483c5ae39a45b1ad85299ac,"aws cloudfront list-distributions --query 'DistributionList.Items[*].{DistributionId:Id,Status:Status}' --output table",cloudfront-003,false,cloudfront-003,View Details,Implement Regional Caching for CloudFront,AWS,,,2026-06-17T02:10:38.682068+00:00,Check for zero-traffic distributions. Compare cache hit ratio. Switch to PriceClass_100 if traffic is US/EU only.,"[""cloudfront:ListDistributions"",""cloudwatch:GetMetricStatistics(Requests,BytesDownloaded)""]",,,,,
1,easy,bedrock-ai,CloudWatch,3,advisory,cleanup,varies,Identify and delete CloudWatch alarms that are no longer needed to save costs.,3728e92eee9ec48c9c135f2ba3944299a7fd7ebeecd6262074f75d306c498bbd,aws cloudwatch describe-alarms,cloudwatch-001,false,cloudwatch-001,View Details,Remove unused CloudWatch alarms,AWS,,,,,,,,,,
1,easy,bedrock-ai,CloudWatch,3,advisory,cleanup,varies,Remove old or unused CloudWatch Logs to reduce storage costs.,1aef34b0dc4922bcf2f9eebc35ba076f09b5490c3b56395832bf88874e5c0b00,aws logs describe-log-groups --query 'logGroups[?retentionInDays>=`365`]' --output text,cloudwatch-002,false,cloudwatch-002,View Details,Delete Unused CloudWatch Logs,AWS,,,,,,,,,,
,easy,,CloudWatch Logs,1,modify,retention,50-90%,"CloudWatch Logs default to Never Expire, accumulating storage costs indefinitely at $0.03/GB/month. Set retention policies: 7 days for dev/test, 30 days for staging, 90 days for production. Export critical logs to S3 (cheaper) before they expire. A single busy Lambda function can generate GBs of logs monthly.",,logs:DescribeLogGroups -> check retentionInDays; null = Never Expire = waste. Script: aws logs put-retention-policy --log-group-name /aws/lambda/my-func --retention-in-days 30,,true,cwlogs-001,Set Retention,Set CloudWatch Logs retention periods,AWS,true,AmazonCloudWatch,,,,,,,,
,easy,,CloudWatch Logs,1,delete,cleanup,10-30%,"Old Lambda functions, deleted ECS tasks, and removed services leave behind empty log groups. Each log group with stored data costs money. Delete log groups with 0 stored bytes or no log events in 90+ days.",,logs:DescribeLogGroups -> storedBytes=0 or no recent events; Script: aws logs describe-log-groups --query 'logGroups[?storedBytes==`0`].logGroupName',,true,cwlogs-002,Delete Empty Logs,Delete empty and unused log groups,AWS,true,AmazonCloudWatch,,,,,,,,
1,easy,bedrock-ai,CodeBuild,3,advisory,scheduling,20-40%,Configure CodeBuild projects to run during non-business hours to take advantage of reduced pricing.,8f91e449b76ddb0e891c045c5084442702268e1241be398fb51aa2f5d80b7a5b,"aws codebuild describe-projects --query 'projects[?contains(tags[?key==`Environment`].value, `Production`)]'",codebuild-001,false,codebuild-001,View Details,Schedule builds during off-peak hours,AWS,,,2026-06-02T13:50:31.176175+00:00,,,,,,,
1,medium,bedrock-ai,CodeBuild,3,advisory,idle-resources,$10-$100/month,Identify and stop CodeBuild projects that are not in use. Unused projects can be deleted or their build triggers disabled.,5c9e7f5e2298e2e35116248a2b07cdd05532343a1c1aae017a31fdce81cccab8,aws codebuild list-projects --query 'projects' --output text | xargs -I {} aws codebuild stop-project --name {},codebuild-002,false,codebuild-002,View Details,Stop Unused CodeBuild Projects,AWS,,,2026-06-02T19:12:00.225415+00:00,,,,,,,
1,medium,bedrock-ai,CodeBuild,3,advisory,scheduling,15-40%,"Enable and configure caching for CodeBuild projects to reuse dependencies and artifacts from previous builds. This reduces build time and associated compute costs, especially for projects with large dependency trees.",156371550caa03eb801cc9ebcc1dcb77cca6dfc42870b2b1365cc6ab998debb4,aws codebuild batch-get-projects --names <project-name> --query 'projects[0].cache',codebuild-003,false,codebuild-003,View Details,Implement Build Project Caching,AWS,,,2026-06-18T02:10:41.701385+00:00,,,,,,,
1,easy,bedrock-ai,Cognito,3,advisory,cleanup,varies,Identify and delete user pools that are no longer in use to avoid unnecessary charges.,0c806bfc5f947d94634da6818a894c237fae6e70ad21745301a65be9c6d5f776,aws cognito-idp list-user-pools,cognito-001,false,cognito-001,View Details,Remove unused Cognito User Pools,AWS,,,,,,,,,,
1,medium,bedrock-ai,Cognito,3,advisory,cleanup,varies,Identify and delete unused Cognito User Pools to reduce costs.,7802c51a9efb8af436be4e0a619d17482f5b15a67a51aa991fd6508ad624f594,aws cognito-idp list-user-pools --region <region>,cognito-002,false,cognito-002,View Details,Clean Up Unused Cognito User Pools,AWS,,,2026-05-30T07:27:30.472897+00:00,,,,,,,
,easy,,Compute Engine,2,pending,right-sizing,30-50%,"GCP Recommender identifies idle and underutilized VMs based on CPU, memory, and network metrics over 14 days. Resize to a smaller machine type or delete idle instances to reduce costs.",,,,false,gcp-ce-001,Coming Soon,Right-size underutilized VM instances,GCP,false,Compute Engine,,,,,,,,
